Tiempo_s,Energia,Frecuencia,Es_Beat
96.6,0.909,0.223,0
96.7,0.574,0.475,1
96.8,0.335,0.348,0
96.9,0.728,0.17,0
97.0,0.972,0.024,0
97.1,0.441,0.398,1
97.2,0.363,0.317,0
97.3,0.711,0.182,0
97.4,0.927,0.118,0
97.5,0.453,0.486,1
97.6,0.339,0.373,0
97.7,0.718,0.162,0
97.8,0.917,0.056,0
97.9,0.45,0.499,1
98.0,0.345,0.356,0
98.1,0.818,0.149,0
98.2,0.944,0.14,0
98.3,0.378,0.535,1
98.4,0.419,0.348,0
98.5,0.831,0.135,0
98.6,0.984,0.022,0
98.7,0.469,0.531,1
98.8,0.383,0.655,0
98.9,0.859,0.21,0
